,titles,dates,origin,section,ID,exclusion_reason
1896,"Schools shouldn’t be places where kids go hungry:   The Liberals have, once again, promised to fund a national school food program. That’s good news, but it needs to be done right",2024-04-08, The Globe and Mail (Online); Toronto, Other,3034480164,Federal school food program
1898,"Trudeau courageously sticks to the carbon tax:   The premiers gang up on Justin Trudeau over the carbon tax, compounding the Liberal government’s misery",2024-04-08, The Globe and Mail (Online); Toronto, Politics,3034133575,Federal carbon tax politics
1899,"Trudeau courageously sticks to the carbon tax:   As the policy grows unpopular among premiers and the public, the Prime Minister is braving the risk for what he believes is best",2024-04-08," The Globe and Mail; Toronto, Ont.", News,3034107766,Federal carbon tax politics
1901,Bank of Canada’s shadow looms over upcoming federal budget:   Cost-of-living concerns are a threat to the Liberals’ political survival. But spending big risks aggravating inflation,2024-04-06, The Globe and Mail (Online); Toronto, Business,3033829766,Federal budget / Bank of Canada
1902,The Bank of Canada’s shadow looms large over the next federal budget,2024-04-06," The Globe and Mail; Toronto, Ont.", Report on Business,3033805090,Federal budget / Bank of Canada
1903,"How Vietnam’s crackdowns on dissent clash with pledges of reform and trade:   In forging new ties with West, the Communist state has promised openness, according to human-rights groups, that it has not delivered",2024-04-06," The Globe and Mail; Toronto, Ont.", News,3033805087,International (Vietnam and trade)
1904,MPs targeted by China describe eerie patterns at foreign interference inquiry,2024-04-06," The Globe and Mail; Toronto, Ont.", News,3033803779,Federal foreign-interference inquiry
1906,"MPs targeted by China describe eerie patterns at foreign interference inquiry:   This week, the public inquiry into foreign interference heard from a pair of MPs who are among China’s primary targets in Canada",2024-04-05, The Globe and Mail (Online); Toronto, Politics,3033624225,Federal foreign-interference inquiry
1907,"Politics Briefing: Federal officials asked Facebook to take down false allegations about Trudeau in 2019 campaign, inquiry hears:   Also: Ottawa pledges $100-million for new housing construction technology",2024-04-05, The Globe and Mail (Online); Tor onto, Politics,3033068744,Federal foreign-interference inquiry
1908,"A look at what happened this week at the foreign interference inquiry:   The first week of public hearings into foreign interference, which will span a total of nine days, heard testimonies from Canadian diaspora groups, election officials and politicians targeted by China",2024-04-05, The Globe and Mail (Online); Toronto, Politics,3033041157,Federal foreign-interference inquiry
1909,"The build-more ethos for housing is (finally) gaining political ground:   Opposition to building new housing is still a part of Canada’s political culture, but governments are finally taking action",2024-04-05, The Globe and Mail (Online); Toronto, Other,3032981619,National housing-politics commentary
1910,"Morning Update: Intelligence document suggests Chinese officials distributed around $250,000 to ‘threat actors’ in Canada:   Also: White House, aid groups, other Western leaders demand ceasefire to allow more aid into Gaza after the killing of seven humanitarian workers",2024-04-05, The Globe and Mail (Online); Toronto, National,3032981618,Federal foreign-interference inquiry
1911,"How Vietnam’s crackdowns on dissent clash with pledges of reform and trade:   In forging new ties with the West, this Communist state has promised openness that, according to human-rights groups, it has not delivered",2024-04-05, The Globe and Mail (Online); Toronto, International,3032919161,International (Vietnam and trade)
1912,The fourplex: A complicated niche:   Plans for easy density often meet roadblocks despite the housing crisis,2024-04-05," The Globe and Mail; Toronto, Ont.", Real Estate,3032870382,National housing feature (fourplexes)
1913,"China paid ‘threat actors’ working in Canada, inquiry told:   Individuals received financial support to advance PRC interests before 2019 election, documents say",2024-04-05," The Globe and Mail; Toronto, Ont.", News,3032868714,Federal foreign-interference inquiry
1914,The build-more ethos gains ground,2024-04-05," The Globe and Mail; Toronto, Ont.", Editorial,3032868703,National housing-politics editorial
1915,"Veteran NDP MP Angus leavin g politics:   After 20 years in office, he says it’s time to ‘pass the baton’ as boundary changes add 20,000 square kilometres of territory to his riding",2024-04-05," The Globe and Mail; Toronto, Ont.", News,3032868702,Federal politics (NDP MP Charlie Angus leaving)
1916,"China paid approximately $250,000 to ‘threat actors’ working in Canada, inquiry told:   Unclassified intelligence documents say individuals received financial support to advance PRC interests before 2019 election",2024-04-04, The Globe and Mail (Online); Toronto, Politics,3032801100,Federal foreign-interference inquiry
1917,"Evening Update: Biden demands Israel’s Netanyahu reach ‘immediate ceasefire’ in Gaza after Israeli strikes kill aid workers:   Also: foreign interference inquiry continues; Ford delays EV production in Oakville, Ont.",2024-04-04, The Globe and Mail (Online); Toronto, National,3032756597,News digest led by Gaza ceasefire demand
1918,Politics Briefing: NDP MP Charlie Angus is leaving politics:   The feisty opposition critic who transitioned from activism to public office is the longest-serving MP in Timmins history,2024-04-04, The Globe and Mail (Online); Toronto, Politics,3032213091,Federal politics (NDP MP Charlie Angus leaving)
1919,"Fourplexes are a complicated niche that could provide some housing relief:   They have been a divisive concept, but fourplexes can be pitched for a large swath of residential land, they’re relatively ch eap to build and they’re not too intrusive",2024-04-04, The Globe and Mail (Online); Toronto, Other,3031684240,National housing feature (fourplexes)
1920,"Veteran NDP MP Charlie Angus leaving politics:   After 20 years in office, Mr. Angus says it’s time to ‘pass the baton’ as boundary changes add 20,000 square kilometres of territory to his riding",2024-04-04, The Globe and Mail (Online); Toronto, Politics,3031635369,Federal politics (NDP MP Charlie Angus leaving)
1921,Thursday’s analyst upgrades and downgrades:   Inside the Market’s roundup of some of today’s key analyst actions,2024-04-04, The Globe and Mail (Online); Toronto, Business,3031571404,Markets column (analyst upgrades and downgrades)
1922,"A critical push to speed up mine approvals:   Ottawa should be congratulated for offering the potential for a faster, more transparent regulatory environment, but it cannot guarantee it",2024-04-04, The Globe and Mail (Online); Toronto, Other,3031571403,Federal mine-approval regulatory reform
1923,"Morning Update: China’s foreign interference cost Conservatives multiple seats in 2021, former leader says:   Erin O’Toole, other witnesses say government officials failed to share intelligence on Beijing’s meddling",2024-04-04, The Globe and Mail (Online); Toronto, National,3031571402,Federal foreign-interference inquiry (O'Toole on China)
1924,Ottawa pledges additional $15-billion in low-cost loans to boost apartment construction,2024-04-04," The Globe and Mail; Toronto, Ont.", Report on Business,3031527564,Federal housing (apartment construction loan program)
1925,A critical push to speed up mine approvals,2024-04-04," The Globe and Mail; Toronto, Ont.", Editorial,3031506924,Federal mine-approval regulatory reform
1927,Ottawa is full of promises on everything except Canada’s highest priority: defence,NA," The Globe and Mail; Toronto, Ont.", News,3031506896,Federal politics (defence spending priorities)
1929,"Politics Briefing: Erin O’Toole believes Chinese interference cost Conservatives up to nine seats in last election:   Also, Manitoba budget delivers tax cuts; Ontario by-elections set for May 2; Ottawa is self-declared Shawarma Capital",2024-04-03, The Globe and Mail (Online); Toronto, Politics,3031341723,Politics briefing led by federal foreign interference
1930,"Trudeau’s Liberals are full of promises on everything except Canada’s highest priority: defence:   Some of the prime minister’s recent announcements are outside federal jurisdiction and not likely to become a reality before the next election; however, boosting Canada’s defences is of critical importance",2024-04-03, The Globe and Mail (Online); Toronto, Politics,3031325264,Federal politics (defence spending priorities)
1931,"Federal budget will include $15-billion top-up to apartment construction loan program:   In a preview of the 2024 budget, the Prime Minister also announced a program to partner with provinces and territories to build rental housing – with conditions",2024-04-03, The Globe and Mail (Online); Toronto, Politics,3031181423,Federal housing (apartment construction loan program)
